reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9ed35eba-eb0f-4a6d-8ed5-267dc3728d57,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocKFet0zYhOtLTQ_JQrXZZJpfp3lk7iV44mzoIPQUPRVMF6MAQ=mo,Bisa liat bis tran posisi dimana,5,0,,2022-01-31 02:46:44,,,
a38d5805-5084-4b06-97fc-081341caf108,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocLMiVcKk-cPuU8LHAaKo4Wnjw3250J_JVRmUMFcT0WaHCz_iQ=mo,"Sayangnya aplikasi ini tidak banyak membantu apa yang saya inginkan, karena untuk mencapai tujuan tak ada info dilanjutkan dengan bis rute yang mana,kalau harus ganti bis di halte mana.",1,3,,2022-01-26 16:19:53,,,
4dc23a21-9693-44f4-906e-699cafc70bd9,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjXSSkoFvSfxBWQ0oM0ztZ0BzCPnlR7qhcTex1JstCASfvjS5i0,Sayangnya deteksi lokasi atau posisi si pemilik akun sering salah,3,0,,2022-01-21 00:41:04,,,
313ce763-744e-4fa5-aee6-186bd80b6ca6,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjVeCUtG7Lre1bpSVxrHEiX-7H3njC8qw6VLTgtNAecwUBnN6Zw,"Ulasan : 1. Rute koridor 1 ( Godean ) & 2 ( Ngaglik ) serta 3 ( Ngemplak ) mohon ditambahkan di aplikasi ini. 2. Bisa ditambahkan estimasi waktu kedatangan antar bus ? Sementara itu dulu ulasannya, tengkyuuu..",4,3,1.0.7,2022-01-12 13:44:09,,,1.0.7
901c204b-726d-473f-95d6-b24b9dd72737,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUMmM9cx18ddinEKFNJPSLZfUqpapUvQKHlveS8zsgai1_MhXtH,"tadi saya naik 3A dari Ahmad Dahlan tujuan di bandara, tapi kenapa saya di turunkan di pasar Ngabean?? terus kata petugas yang jaga di halte Ngabean, sebenarnya tadi masih bisa beroperasi untuk tujuan bandara akhirnya saya di oper"" bus lagi dan ternyata bus nya tidak sampai ke bandara, katanya tujuan terakhir di SGM dan ujung"" nya saya naik GOJEK saya di sini merasa di rugikan!!! tolong ya untuk crew bus nya di kasih arahan lagi untuk kedepan nya yang lebih baik",1,8,1.0.7,2022-01-02 12:22:40,,,1.0.7
393af738-2d27-4de5-8594-1908386a7d4a,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJAmhoQrPDTGoXJdUdCe650esifuhWzebbN50WXuGDWSo_GRQ=mo,"keren, informatif, solutif",5,0,1.0.7,2021-12-29 23:11:43,,,1.0.7
1d01955a-0a57-402a-ace5-366c849870bc,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUfr3LanvcGR-MmsKMzU_4uOO9fUfioFYuoE5wevSAFT0KKd4A,"isinya cm rute aja cari di google/tanya penjaga bisa saran: 1.Misal nulis tujuan di bagian map kemudian di arahkan naik apa gitu(Sekarang ini disediakan map tp gk da gunanya buat apa coba, mau nyaingin google map?😂,contoh tu gojek) 2.Kasih keterangan misal 1A datang sekitar 15 menit sekali 3.Klw bisa setiap bus ada signal nya, jadi tau posisi bus yg sdg ditunggu Sdh sampe mana, wkwk (klw ini bisa sumpah keren bgt,Aku kasih jempol 5) 4.Ada fitur info misal peralihan jalur/promo dll",3,16,1.0.7,2021-12-03 10:07:33,,,1.0.7
1ba29706-d97a-4a72-b5c4-59211ecbc6b5,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocIvUbVnqQhGbE9EDvcau9LSG7ggHufTj5Z8KRMj3DRByPYv=mo,Lebih disempurnakan...,4,0,1.0.7,2021-11-30 02:23:19,,,1.0.7
2209e8e9-b017-4684-951a-6494d569cef0,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWNASwtr0BJxO2BC5F2QVjjNQIZzZU74cMNKYPzh5bUm8XLTJyU,"Baru tau kalo aplikasi ini ada, dan membantu sekaleeeee. Kemana aja gw selama ini, gak hapal sama jalur jadi tanya2 terus sama keneknya",5,6,1.0.7,2021-11-14 02:06:59,,,1.0.7
28d7b451-88f1-4563-8408-a0c437c663ee,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjU-Z3jw8J2hAGIM_ppb4KaCiTbhmN46lgoqZCgGTZxwf4nHhtc,Rute bus dari pakem belum ada kah?,4,6,1.0.7,2021-10-07 16:41:37,,,1.0.7
7ef3fa22-9b55-4988-b23c-d8eb29856c6f,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWOTeMLy68G6MaitIHyo1_PgHppJXBZ70oEksOK_YMNvVrFAh79,"Untuk Transit ke Daerah Babarsari atau Kledokan bener² membingungkan.. Jalur 1B kota jadwal kedatangan diaplikasi 9 menit teruus.. mending digreyout aja min, estimasinya yang udah gerak aja",3,0,,2021-10-05 03:11:20,,,
ebac5058-ba50-44f4-a023-ee33b0b81ee6,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocL53kFJ6IbKhKazGXU8Znl_rFJlGDTo9numqSXG7oEsTW4nEA=mo,Membantu bagi yang belum tau jogja,5,1,1.0.6,2021-08-23 04:41:21,,,1.0.6
54fb23b6-5874-42fe-a13b-2f393245cdec,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJG4G2o8o4KYafRMTykD1K1IwiRxb-JspFlpJ89EULSC-n0Pw=mo,Makin lama makin parah trans jogja...busnya dikit jarakny lama..capek di jalan..mending diganti aj...,1,2,1.0.6,2021-06-18 07:04:52,,,1.0.6
4205f93e-47f3-4bb8-bfe4-de3ded82a421,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUW-XHlNjQ12fggUVw87Vk92koibh8zjTlcz9ttwe2iRCCFFAEb,Lumayan sih... Cuma sy boleh saran gak? Gambar bis di peta jangan dicepetin susah liatnya busnya udh dimana gitu... Sekian saran dari saya Terima kasih...,5,5,1.0.6,2021-06-17 09:00:56,,,1.0.6
8ea52b43-73b4-4efe-8724-21f794053baa,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjVoHROWZFx8XNcUK0OXvBjTCiv0K3d7QWkYH6szhuPVfLOXLXkc,Kalo bisa tambahin jadwal jam keberangkatan dong. Tapi sejauh ini sudah sangat membantu sih.,4,3,1.0.6,2021-04-08 03:06:32,,,1.0.6
2d00a5b7-fcf6-430f-af93-b676ec944e58,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocL70RA71RgH-tbXishMRwT8IcvSROQelyTT8Tqejc8M7Ay_-w=mo,Sangat membantu sekali untuk mobilitas selama dijogja Top markotop,5,0,,2021-02-18 13:51:42,,,
393114e8-904c-4523-b1a7-f6bd6f2413e4,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJCM2g4Z_rmLl3SQm3FiOOS8zrTcC46b6tdpS_fZn5VO7I-c1g=mo,"masih banyak yg perlu di benahi... masih ada JURUSAN2 yg belum tercatat di aplikasi dan SPOT2 HALTE yg belum tercatat di jurusan tersebut,,contohnya jurusan gamping-ngabean via lapangan kasihan.dan juga ktka kita mensearch destinasi di kolom pencarian,aplikasi tidak bekerja menunjukkan panduan halte2 terdekat dan cenderung ngawur.justru aplikasi moovit malah yg menunjukkan kita..dan juga jurusan PAKEM juga belum tercatat.dan TJ ini lucu sih,kdg sampe lewat jalan2 kampung tp nggk ada halte",2,8,1.0.5,2021-01-15 01:20:35,,,1.0.5
96b64256-1256-460f-85af-590231e8a5e9,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjWPhQDsELNCR5nFEj6QqJxSufU0Hc1Q1QolOe5VKN-ZaL5XqyMw,Sangat membantu biar bisa pas jalan ke halte. Semoga semua bisa segera normal jadi operasional transjogja juga normal lagi sampai malam,5,5,1.0.5,2020-12-19 05:10:21,,,1.0.5
f822a65d-7519-457d-b82a-b1a333a349c7,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjUcmh80lAwuA3HsczqZIm9zWxfVLmUjScVAQp6SWOZzoPOjgpHc,Sangat tepat dan efektif sekali,5,1,1.0.5,2020-12-13 13:29:40,,,1.0.5
121f37ad-a5bc-48a5-9a67-ae4d37a6cd6d,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjU4W0dQqJKbI1xci5qtpEc-e6CdbRvDz3YNjsGLOiWJ2FQKRQ,"Mohon sertakan jam operasinya juga min, dari jam berapa sampai jam berapa. Biar orang pemula seperti saya tidak kebingungan. Takutnya pas ke halte, tau2 halte tutup. Terima kasih.. 🙏",5,2,1.0.3,2020-11-16 08:52:53,"Terima kasih kak masukannya , segera kami tambahkan fitur ini. da~",2020-11-24 07:48:44,1.0.3
47d90113-2c26-40cf-bc31-6fff59708b3f,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjU745HBK5iluiPnq19hGvEN4bpVZTWkYjQMiiALS4jGRhpHWUZc,"Cukup to the point infonya, mau kemana? Fitur tersebut juga sangat membantu saya. Jadi pengen ke Jogja lagiiiiiiiii",5,3,1.0.3,2020-11-15 13:29:00,,,1.0.3
1ed287e6-1f8b-49f9-9a78-fa6325f6c15d,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocIVrmlbGBw1YgbVKrVgr_TFv4xgXk8Jp9lpe_BOEiOEeAVJFw=mo,Baik dan membantu,5,2,1.0.3,2020-10-28 04:49:47,,,1.0.3
f3f433c5-cb82-42cf-8142-bffbfdbb86d4,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocIYWZ9KokdKGC7qPuyHskS_umQmEXMzAZhMBDDGgjtR0xjpFA=mo,"Rute baru yang ke pasar pakem kok gak ada ya ,,,,",5,0,,2020-10-28 04:40:27,"Terima kasih kak masukannya , untuk rute pasar pakem di kelola oleh teman bus kak.",2020-11-24 07:49:46,
66a5fae2-f8da-4b8f-b369-c0c7598931c9,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjX3rjooDbkFdNquMmj_MJ1tuooG1TXfl9s4SYZrf4gCdr37RvDdQQ,Cara pakenya gmna si?,4,1,1.0.3,2020-10-24 08:05:33,,,1.0.3
87e2d50b-7fab-4b8d-9091-b308f520852e,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocIv9yQ4w_MrQfyBafn_fjK8siudxWBS7srhKOxKCA364zqeYQ=mo,Mantap. Sangat membantu sekali.,5,1,1.0.3,2020-10-07 07:44:53,,,1.0.3
e6bb4c06-2502-4776-85f3-7ebbfe3807e2,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocKgM2tm1JngGh1uha_ONyk0N4Y_asa-fRxNO7e4sDYo0ia1ya4=mo,Bagus,5,0,1.0.2,2020-08-13 23:45:16,,,1.0.2
56264d67-6c14-426a-a8b8-6a5fe84e043d,Pengguna Google,https://play-lh.googleusercontent.com/a-/ALV-UjVxPyQy-1hJzgvTtebh_zngxUL25XX0OeuLKS67_H3lHiy32SHM,"Bagus sih, tapi tidak ada info pergantian bisnya jadi kode apa dan warna apa, sebaiknya warna rute disesuaikan dgn icon bus yg berjalan dan warns di ""Rute Bus"", jd terlihat ganti busnya",4,3,1.0.2,2020-07-19 15:20:52,,,1.0.2
49e3baae-b0d7-4816-911a-945b6d380d8d,Pengguna Google,https://play-lh.googleusercontent.com/a/ACg8ocJTIbgz_m8mU8vtdjN1zxGhs2BNPtUPqrYWq7QO_-u1_p_gjQ=mo,berguna membantu,5,0,1.0.2,2020-05-31 10:30:19,,,1.0.2
